"comm_region_code","comm_region_name","icb_code","icb_name","sub_icb_code","sub_icb_name","data_source","unique_identifier","staff_group","detailed_staff_role","staff_role","country_qualification_area","country_qualification_group","age_band","age_years","gender","fte","snapshot_year","snapshot_month","snapshot_date","year","month"
"Y56","London","QWE","NHS South West London ICB","36L","NHS South West London ICB - 36L","Estimated","110_20232","Direct Patient Care","Healthcare Assistant","Healthcare Assistants","Not Applicable","Not Applicable","Unknown","NULL","Other/Unknown","0.704822911","2023","2","2023-02-01","2023","02"
"Y62","North West","QYG","NHS Cheshire and Merseyside ICB","99A","NHS Cheshire and Merseyside ICB - 99A Liverpool","Estimated","111_20232","Direct Patient Care","Healthcare Assistant","Healthcare Assistants","Not Applicable","Not Applicable","Unknown","NULL","Other/Unknown","0.704822911","2023","2","2023-02-01","2023","02"
"Y56","London","QMJ","NHS North Central London ICB","93C","NHS North Central London ICB - 93C","Estimated","112_20232","Direct Patient Care","Healthcare Assistant","Healthcare Assistants","Not Applicable","Not Applicable","Unknown","NULL","Other/Unknown","0.704822911","2023","2","2023-02-01","2023","02"
"Y59","South East","QNX","NHS Sussex ICB","97R","NHS Sussex ICB - 97R East Sussex","Estimated","113_20232","Direct Patient Care","Healthcare Assistant","Healthcare Assistants","Not Applicable","Not Applicable","Unknown","NULL","Other/Unknown","0.704822911","2023","2","2023-02-01","2023","02"
"Y56","London","QMF","NHS North East London ICB","A3A8R","NHS North East London ICB - A3A8R","Estimated","114_20232","Direct Patient Care","Healthcare Assistant","Healthcare Assistants","Not Applicable","Not Applicable","Unknown","NULL","Other/Unknown","0.704822911","2023","2","2023-02-01","2023","02"
"Y63","North East and Yorkshire","QHM","NHS North East and North Cumbria ICB","16C","NHS North East and North Cumbria ICB - 16C Tees Valley","Estimated","115_20232","Direct Patient Care","Healthcare Assistant","Healthcare Assistants","Not Applicable","Not Applicable","Unknown","NULL","Other/Unknown","0.704822911","2023","2","2023-02-01","2023","02"
"Y61","East of England","QMM","NHS Norfolk and Waveney ICB","26A","NHS Norfolk and Waveney ICB - 26A","Estimated","116_20232","Direct Patient Care","Healthcare Assistant","Healthcare Assistants","Not Applicable","Not Applicable","Unknown","NULL","Other/Unknown","0.704822911","2023","2","2023-02-01","2023","02"
"Y56","London","QRV","NHS North West London ICB","W2U3Z","NHS North West London ICB - W2U3Z","Estimated","117_20232","Direct Patient Care","Healthcare Assistant","Healthcare Assistants","Not Applicable","Not Applicable","Unknown","NULL","Other/Unknown","0.704822911","2023","2","2023-02-01","2023","02"
"Y56","London","QMF","NHS North East London ICB","A3A8R","NHS North East London ICB - A3A8R","Estimated","118_20232","Direct Patient Care","Pharmacist","Pharmacists","Not Applicable","Not Applicable","Unknown","NULL","Other/Unknown","0.722601327","2023","2","2023-02-01","2023","02"
"Y59","South East","QNX","NHS Sussex ICB","97R","NHS Sussex ICB - 97R East Sussex","Estimated","119_20232","Admin/Non-Clinical","Manager","Managers","Not Applicable","Not Applicable","Unknown","NULL","Other/Unknown","0.880388204","2023","2","2023-02-01","2023","02"
