"prac_code","prac_name","staff_group","detailed_staff_role","measure","value","year","month"
"A81038","HIRSEL MEDICAL CENTRE","Direct Patient Care","Physician Associate","FTE","0.0","2024","08"
"A81038","HIRSEL MEDICAL CENTRE","Direct Patient Care","Physiotherapist","FTE","0.0","2024","08"
"A81038","HIRSEL MEDICAL CENTRE","Direct Patient Care","Podiatrist","FTE","0.0","2024","08"
"A81038","HIRSEL MEDICAL CENTRE","Direct Patient Care","Social Prescribing Link Worker","FTE","0.0","2024","08"
"A81038","HIRSEL MEDICAL CENTRE","Direct Patient Care","Therapist- Counsellor","FTE","0.0","2024","08"
"A81038","HIRSEL MEDICAL CENTRE","Direct Patient Care","Therapist- Occupational Therapist","FTE","0.0","2024","08"
"A81038","HIRSEL MEDICAL CENTRE","Direct Patient Care","Therapist- Other","FTE","0.0","2024","08"
"A81038","HIRSEL MEDICAL CENTRE","Direct Patient Care","Trainee NHS Talking Therapies Therapist","FTE","0.0","2024","08"
"A81038","HIRSEL MEDICAL CENTRE","Direct Patient Care","Trainee Nursing Associate","FTE","0.0","2024","08"
"A81038","HIRSEL MEDICAL CENTRE","Direct Patient Care","Trainee Pharmacy Technician","FTE","0.0","2024","08"
